L 746, -789, -73, 726, -783, -73, 0, 0, 0
L 747, -791, -73, 746, -789, -73, 0, 0, 0
L 747, -792, -73, 747, -791, -73, 0, 0, 0
L 748, -793, -73, 747, -792, -73, 0, 0, 0
L 748, -795, -72, 748, -793, -73, 0, 0, 0
L 751, -800, -73, 748, -795, -72, 0, 0, 0
L 752, -803, -73, 751, -800, -73, 0, 0, 0
L 753, -807, -73, 752, -803, -73, 0, 0, 0
L 753, -808, -73, 753, -807, -73, 0, 0, 0
L 752, -811, -73, 753, -808, -73, 0, 0, 0
L 751, -816, -73, 752, -811, -73, 0, 0, 0
L 750, -819, -73, 751, -816, -73, 0, 0, 0
L 744, -832, -73, 750, -819, -73, 0, 0, 0
L 744, -834, -73, 744, -832, -73, 0, 0, 0
L 736, -838, -73, 744, -834, -73, 0, 0, 0
L 729, -839, -73, 736, -838, -73, 0, 0, 0
L 725, -839, -73, 729, -839, -73, 0, 0, 0
L 719, -838, -73, 725, -839, -73, 0, 0, 0
L 713, -838, -73, 719, -838, -73, 0, 0, 0
L 700, -832, -73, 713, -838, -73, 0, 0, 0
L 699, -831, -73, 700, -832, -73, 0, 0, 0
L 698, -829, -73, 699, -831, -73, 0, 0, 0
L 695, -818, -73, 698, -829, -73, 0, 0, 0
L 694, -816, -73, 695, -818, -73, 0, 0, 0
L 694, -810, -73, 694, -816, -73, 0, 0, 0
L 695, -803, -73, 694, -810, -73, 0, 0, 0
L 695, -802, -73, 695, -803, -73, 0, 0, 0
L 695, -803, -73, 695, -802, -73, 0, 0, 0
L 698, -793, -73, 695, -803, -73, 0, 0, 0
L 699, -791, -73, 698, -793, -73, 0, 0, 0
L 700, -790, -73, 699, -791, -73, 0, 0, 0
L 701, -788, -73, 700, -790, -73, 0, 0, 0
L 702, -787, -73, 701, -788, -73, 0, 0, 0
L 704, -786, -73, 702, -787, -73, 0, 0, 0
L 714, -782, -73, 704, -786, -73, 0, 0, 0
L 722, -781, -73, 714, -782, -73, 0, 0, 0
L 724, -781, -73, 722, -781, -73, 0, 0, 0
L 734, -782, -73, 724, -781, -73, 0, 0, 0
L 751, -667, -73, 752, -668, -73, 0, 0, 0
L 744, -659, -73, 751, -667, -73, 0, 0, 0
L 743, -658, -73, 744, -659, -73, 0, 0, 0
L 743, -656, -73, 743, -658, -73, 0, 0, 0
L 741, -648, -73, 743, -656, -73, 0, 0, 0
L 740, -635, -73, 741, -648, -73, 0, 0, 0
L 740, -630, -73, 740, -635, -73, 0, 0, 0
L 742, -626, -73, 740, -630, -73, 0, 0, 0
L 747, -621, -73, 742, -626, -73, 0, 0, 0
L 748, -619, -73, 747, -621, -73, 0, 0, 0
L 749, -618, -73, 748, -619, -73, 0, 0, 0
L 751, -618, -73, 749, -618, -73, 0, 0, 0
L 762, -615, -73, 751, -618, -73, 0, 0, 0
L 779, -612, -73, 762, -615, -73, 0, 0, 0
L 781, -612, -73, 779, -612, -73, 0, 0, 0
L 783, -613, -73, 781, -612, -73, 0, 0, 0
L 792, -622, -73, 783, -613, -73, 0, 0, 0
L 793, -625, -73, 792, -622, -73, 0, 0, 0
L 793, -627, -73, 793, -625, -73, 0, 0, 0
L 794, -629, -73, 793, -627, -73, 0, 0, 0
L 797, -638, -73, 794, -629, -73, 0, 0, 0
L 798, -639, -73, 797, -638, -73, 0, 0, 0
L 798, -658, -73, 798, -639, -73, 0, 0, 0
L 785, -665, -73, 798, -658, -73, 0, 0, 0
L 784, -666, -73, 785, -665, -73, 0, 0, 0
L 782, -665, -73, 784, -666, -73, 0, 0, 0
