L 520, -1243, -41, 583, -1243, -41, 65, 65, 65
L 573, -1230, -41, 576, -1230, -41, 65, 65, 65
L 588, -1175, -40, 588, -1206, -40, 65, 65, 65
L 517, -1175, -40, 588, -1175, -40, 65, 65, 65
L 517, -1246, -40, 517, -1175, -40, 65, 65, 65
L 588, -1246, -40, 517, -1246, -40, 65, 65, 65
L 588, -1215, -40, 588, -1246, -40, 65, 65, 65
L 529, -1301, -55, 532, -1304, -55, 60, 40, 0
L 532, -1299, -54, 529, -1301, -54, 60, 40, 0
L 1000, -1040, 29, 1015, -1040, 29, 65, 65, 65
L 1000, -1040, 29, 1000, -1056, 29, 65, 65, 65
L 1011, -1118, 29, 1021, -1118, 29, 64, 40, 0
L 1036, -1120, 30, 1021, -1120, 30, 0, 0, 0
L 144, -784, -39, 144, -791, -39, 65, 65, 65
L 136, -784, -39, 144, -784, -39, 65, 65, 65
L 136, -791, -39, 136, -784, -39, 65, 65, 65
L 144, -791, -39, 136, -791, -39, 65, 65, 65
L 215, -735, -55, 192, -735, -55, 65, 65, 65
L 184, -727, -55, 192, -727, -55, 65, 65, 65
L 184, -727, -55, 184, -744, -55, 65, 65, 65
L 192, -744, -55, 184, -744, -55, 65, 65, 65
L 168, -808, -71, 167, -783, -55, 65, 65, 65
L 136, -752, -55, 160, -752, -55, 65, 65, 65
L 136, -752, -55, 136, -744, -55, 65, 65, 65
L 136, -728, -55, 136, -720, -55, 65, 65, 65
L 128, -743, -55, 112, -743, -55, 65, 65, 65
L 128, -728, -55, 128, -720, -55, 65, 65, 65
L 128, -775, -31, 120, -775, -31, 65, 65, 65
L 136, -767, -31, 128, -775, -31, 65, 65, 65
L -14, 28, -27, -14, -226, -27, 60, 40, 0
L -15, 28, -27, -28, 28, -27, 60, 40, 0
L 857, -1343, -24, 864, -1343, -31, 65, 65, 65
L 863, -1336, -30, 863, -1343, -30, 65, 65, 65
L 862, -1343, -29, 862, -1336, -29, 65, 65, 65
L 861, -1336, -28, 861, -1343, -28, 65, 65, 65
L 860, -1343, -27, 860, -1336, -27, 65, 65, 65
L 859, -1336, -26, 859, -1343, -26, 65, 65, 65
L 858, -1343, -25, 858, -1336, -25, 65, 65, 65
L 857, -1336, -24, 857, -1343, -24, 65, 65, 65
L 887, -1336, -31, 864, -1336, -31, 65, 65, 65
L 864, -1336, -31, 887, -1336, -31, 65, 65, 65
L 848, -1336, -23, 864, -1336, -31, 65, 65, 65
L 848, -1343, -23, 848, -1336, -23, 65, 65, 65
L 863, -1351, -22, 855, -1343, -22, 65, 65, 65
L 848, -1343, -23, 855, -1343, -23, 65, 65, 65
L 848, -1351, -22, 848, -1343, -23, 65, 65, 65
