P 903.5710, -903.7690, -223.9050,  0, 255, 255,  3,  Trap
P 749.8360, -1114.0880, -251.9050,  0, 255, 255,  3,  Trap
P 707.7200, -667.2970, -169.6620,  0, 255, 255,  3,  Pit
P 614.3390, -580.7220, -167.8090,  0, 255, 255,  3,  Down
P 734.4970, -629.2490, -167.5450,  0, 255, 255,  3,  Up
P 646.8740, -759.7520, -139.9370,  0, 255, 255,  3,  Bridge
P -359.6200, -946.1960, -224.9680,  255, 255, 255,  3,  Safe_Hall
P 450.3690, -621.4590, -196.5300,  0, 0, 0,  2,  Evil_Eye
P 368.6750, -947.5320, -197.3160,  0, 0, 0,  2,  Raster
P 832.4410, -1170.5240, -194.3870,  0, 0, 0,  2,  Arch_Mage
P 689.3650, -1145.3979, -125.9370,  0, 0, 0,  2,  Reanimated_Hand
P 749.7380, -1075.2500, -251.9050,  0, 0, 0,  2,  Corrupted_Gnome_Explorer
P -19.7140, 106.6080, -232.9050,  240, 240, 240,  2,  Froglok_King
P 666.1640, -633.5590, -195.9050,  0, 0, 0,  1,  Bottom_of_stairs
P 714.2610, -634.7940, -167.9360,  0, 0, 0,  3,  Stairs_up
P 554.5800, -684.3730, -144.3950,  0, 0, 0,  1,  Ladder
P 611.0000, -924.0000, 0.0000,  0, 0, 0,  2,  Froglok_Slaves
P 609.0000, -578.0000, 0.0000,  0, 0, 0,  2,  Ghoul_Cavalier
P 1117.0000, -833.0000, 0.0000,  0, 0, 0,  2,  Ghoul_Sentinel
P 884.0000, -625.0000, 0.0000,  0, 0, 0,  2,  Ghoul_Executioner
P 105.4750, -368.0600, -235.1890,  0, 0, 0,  2,  a_Froglok_Noble
P 603.2490, -582.5690, -167.9350,  0, 0, 0,  2,  Ghoul_Savant
P 1056.4340, -1063.4340, -193.9350,  0, 0, 0,  2,  Frenzied_Ghoul
P 774.9370, -638.0790, -111.8520,  0, 0, 0,  2,  Ghoul_Assassin
P 730.9030, -511.6610, -195.9040,  0, 0, 0,  2,  Ghoul_Sage
P -100.0000, -1690.0000, 0.0000,  1, 1, 1,  2,  100
P -200.0000, -1690.0000, 0.0000,  1, 1, 1,  2,  200
P -300.0000, -1690.0000, 0.0000,  1, 1, 1,  2,  300
P -400.0000, -1690.0000, 0.0000,  1, 1, 1,  2,  400
P -500.0000, -1690.0000, 0.0000,  1, 1, 1,  2,  500
P -600.0000, -1690.0000, 0.0000,  1, 1, 1,  2,  600
P 100.0000, -1690.0000, 0.0000,  1, 1, 1,  2,  -100
P 200.0000, -1690.0000, 0.0000,  1, 1, 1,  2,  -200
P 300.0000, -1690.0000, 0.0000,  1, 1, 1,  2,  -300
P 400.0000, -1690.0000, 0.0000,  1, 1, 1,  2,  -400
P 500.0000, -1690.0000, 0.0000,  1, 1, 1,  2,  -500
P 600.0000, -1690.0000, 0.0000,  1, 1, 1,  2,  -600
P 700.0000, -1690.0000, 0.0000,  1, 1, 1,  2,  -700
P 800.0000, -1690.0000, 0.0000,  1, 1, 1,  2,  -800
P 900.0000, -1690.0000, 0.0000,  1, 1, 1,  2,  -900
P 1000.0000, -1690.0000, 0.0000,  1, 1, 1,  2,  -1000
P 1100.0000, -1690.0000, 0.0000,  1, 1, 1,  2,  -1100
P -695.0000, -110.0000, 0.0000,  1, 1, 1,  2,  100
P -695.0000, -210.0000, 0.0000,  1, 1, 1,  2,  200
P -695.0000, -310.0000, 0.0000,  1, 1, 1,  2,  300
P -695.0000, -410.0000, 0.0000,  1, 1, 1,  2,  400
P -695.0000, -510.0000, 0.0000,  1, 1, 1,  2,  500
P -695.0000, -610.0000, 0.0000,  1, 1, 1,  2,  600
P -695.0000, -710.0000, 0.0000,  1, 1, 1,  2,  700
P -695.0000, -810.0000, 0.0000,  1, 1, 1,  2,  800
P -695.0000, -910.0000, 0.0000,  1, 1, 1,  2,  900
P -695.0000, -1010.0000, 0.0000,  1, 1, 1,  2,  1000
P -695.0000, -1110.0000, 0.0000,  1, 1, 1,  2,  1100
P -695.0000, -1210.0000, 0.0000,  1, 1, 1,  2,  1200
P -695.0000, -1310.0000, 0.0000,  1, 1, 1,  2,  1300
